,home_team,empate_home,gano_home,perdio_home,empate_away,perdio_away,gano_away,gano,perdio,empate,num_partidos,gano_perc,perdio_perc,empate_perc,tournament_name,index_tournament
0,America,3.0,16.0,3.0,5.0,5.0,11.0,27.0,8.0,8.0,43.0,0.627906976744186,0.18604651162790697,0.18604651162790697,temporada 1975 1976,0
1,Atlante,10.0,2.0,7.0,7.0,11.0,2.0,4.0,18.0,17.0,39.0,0.10256410256410256,0.46153846153846156,0.4358974358974359,temporada 1975 1976,0
2,Atlas,4.0,8.0,7.0,6.0,7.0,5.0,13.0,14.0,10.0,37.0,0.35135135135135137,0.3783783783783784,0.2702702702702703,temporada 1975 1976,0
3,Atletico Espanol,11.0,6.0,1.0,6.0,9.0,4.0,10.0,10.0,17.0,37.0,0.2702702702702703,0.2702702702702703,0.4594594594594595,temporada 1975 1976,0
4,Chivas,5.0,6.0,7.0,8.0,6.0,5.0,11.0,13.0,13.0,37.0,0.2972972972972973,0.35135135135135137,0.35135135135135137,temporada 1975 1976,0
5,Cruz Azul,6.0,11.0,3.0,8.0,7.0,4.0,15.0,10.0,14.0,39.0,0.38461538461538464,0.2564102564102564,0.358974358974359,temporada 1975 1976,0
6,Curtidores,9.0,7.0,4.0,11.0,7.0,3.0,10.0,11.0,20.0,41.0,0.24390243902439024,0.2682926829268293,0.4878048780487805,temporada 1975 1976,0
7,Estudiantes,6.0,8.0,6.0,6.0,8.0,5.0,13.0,14.0,12.0,39.0,0.3333333333333333,0.358974358974359,0.3076923076923077,temporada 1975 1976,0
8,Jalisco,7.0,7.0,4.0,6.0,10.0,3.0,10.0,14.0,13.0,37.0,0.2702702702702703,0.3783783783783784,0.35135135135135137,temporada 1975 1976,0
9,Leon,6.0,10.0,4.0,6.0,7.0,6.0,16.0,11.0,12.0,39.0,0.41025641025641024,0.28205128205128205,0.3076923076923077,temporada 1975 1976,0
10,Leones Negros,9.0,9.0,3.0,5.0,8.0,9.0,18.0,11.0,14.0,43.0,0.4186046511627907,0.2558139534883721,0.32558139534883723,temporada 1975 1976,0
11,Monterrey,5.0,10.0,5.0,8.0,6.0,7.0,17.0,11.0,13.0,41.0,0.4146341463414634,0.2682926829268293,0.3170731707317073,temporada 1975 1976,0
12,Potosino,3.0,9.0,8.0,3.0,14.0,2.0,11.0,22.0,6.0,39.0,0.28205128205128205,0.5641025641025641,0.15384615384615385,temporada 1975 1976,0
13,Puebla,5.0,7.0,6.0,5.0,12.0,2.0,9.0,18.0,10.0,37.0,0.24324324324324326,0.4864864864864865,0.2702702702702703,temporada 1975 1976,0
14,Pumas,4.0,15.0,1.0,9.0,7.0,3.0,18.0,8.0,13.0,39.0,0.46153846153846156,0.20512820512820512,0.3333333333333333,temporada 1975 1976,0
15,Santos,8.0,6.0,5.0,7.0,6.0,5.0,11.0,11.0,15.0,37.0,0.2972972972972973,0.2972972972972973,0.40540540540540543,temporada 1975 1976,0
16,Tigres,8.0,9.0,2.0,5.0,10.0,3.0,12.0,12.0,13.0,37.0,0.32432432432432434,0.32432432432432434,0.35135135135135137,temporada 1975 1976,0
